sno,ss_id,ss_name,PTR_Capacity,Voltage_Rating,Manufacturer,ManufSerialNo,YoM,Doc
795,298,220/132/33KV SS Madugula,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86759,2017,23-03-2018
796,298,220/132/33KV SS Madugula,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86750,2016,11-11-2017
797,298,220/132/33KV SS Madugula,100,220/132KV,BHARAT BIJLEE LTD,5590/05,2017,03-08-2018
798,298,220/132/33KV SS Madugula,100,220/132KV,BHARAT BIJLEE LTD,5590/06,2017,03-03-2018
799,299,220/132/33KV SS Mahaboobabad,31.5,132/33KV,IMP POWERS LTD,PT-7244,2014,15-02-2024
800,299,220/132/33KV SS Mahaboobabad,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PMO100084,2012,12-03-2025
801,299,220/132/33KV SS Mahaboobabad,10/16,132/33KV,APEX TRANSFORMERS LTD,T-997/01,1997,17-11-2010
802,299,220/132/33KV SS Mahaboobabad,100,220/132KV,BHARAT BIJLEE LTD,T/05590-02,2017,29-01-2018
803,299,220/132/33KV SS Mahaboobabad,100,220/132KV,CROMPTON GREAVES LTD,BH8849/1,2002,17-03-2018
804,300,220/132/33KV SS Mahabubnagar(Bhootpur),160,220/132KV,VIJAI ELECTRICALS LTD,90073A03,2010,06-11-2010
805,300,220/132/33KV SS Mahabubnagar(Bhootpur),160,220/132KV,BHARAT BIJLEE LTD,5471/6,2015,10-02-2016
806,300,220/132/33KV SS Mahabubnagar(Bhootpur),50,132/33KV,TOSHIBA,90175A03,2015,17-11-2015
807,300,220/132/33KV SS Mahabubnagar(Bhootpur),31.5,132/33KV,TOSHIBA,90199A01,2016,10-05-2022
808,300,220/132/33KV SS Mahabubnagar(Bhootpur),160,220/132KV,BHARAT BIJLEE LTD,5595/9,2018,02-08-2018
809,301,220/132/33KV SS Manuguru,160,220/132KV,BHARAT BIJLEE LTD,5471/01,2015,12-02-2016
810,301,220/132/33KV SS Manuguru,160,220/132KV,BHARAT BIJLEE LTD,5471/16,2016,31-03-2016
811,301,220/132/33KV SS Manuguru,50,132/33KV,BHARAT BIJLEE LTD,5469/44,2016,31-12-2016
812,301,220/132/33KV SS Manuguru,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101734,2023,18-01-2024
813,302,220/132KV SS Medchal,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,100085,2012,26-11-2012
814,302,220/132KV SS Medchal,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,100024,2009,01-06-2010
815,302,220/132KV SS Medchal,160,220/132KV,BHARAT BIJLEE LTD,5595/10,2018,22-11-2018
816,303,220/132/33KV SS Meenajipet,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86753,2017,09-06-2017
817,303,220/132/33KV SS Meenajipet,100,220/132KV,BHARAT BIJLEE LTD,5590/12,2018,06-02-2020
818,303,220/132/33KV SS Meenajipet,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86778,2018,06-02-2020
819,304,220/132/33KV SS Minpur,160,220/132KV,IMP POWERS LTD,PT-7612,2015,16-05-2016
820,304,220/132/33KV SS Minpur,160,220/132KV,BHARAT BIJLEE LTD,5471/1,2015,18-02-2016
821,304,220/132/33KV SS Minpur,50,132/33KV,BHARAT BIJLEE LTD,5469/10,2015,05-02-2016
822,304,220/132/33KV SS Minpur,50,132/33KV,BHARAT BIJLEE LTD,5469/40,2015,02-04-2016
823,304,220/132/33KV SS Minpur,160,220/132KV,BHARAT BIJLEE LTD,T/05595/03,2017,21-02-2018
824,305,220/132/33KV SS Miryalaguda,160,220/132KV,SIEMENS LTD,110002-3,2008,23-06-2008
825,305,220/132/33KV SS Miryalaguda,80,132/33KV,TECHNICAL ASSOCIATES LTD,S00000476,2016,30-12-2016
826,305,220/132/33KV SS Miryalaguda,100,220/132KV,BHEL,2006475,1991,14-11-2012
827,305,220/132/33KV SS Miryalaguda,160,220/132KV,ABB POWER PRODUCTS AND SYSTEMS,13082-001,2008,31-07-2009
828,305,220/132/33KV SS Miryalaguda,100,220/132KV,CROMPTON GREAVES LTD,T8788,2001,21-12-2002
829,305,220/132/33KV SS Miryalaguda,80,132/33KV,IMP POWERS LTD,PT7607,2015,23-11-2019
830,306,220/132/33KV SS Miyapur,160,220/132KV,BHEL,2038220,2014,27-12-2014
831,306,220/132/33KV SS Miyapur,160,220/132KV,TOSHIBA,90161A01,2014,04-09-2015
